FG1	FG2	incompatible
calc_NITRO	nitrile	0
calc_NITRO	ketones_a_bromo	0
calc_NITRO	ynones	0
calc_NITRO	amidines_primary	0
calc_NITRO	amidines_secondary	0
calc_NITRO	guanidines_secondary_primary	0
calc_NITRO	guanidines_secondary_secondary	0
calc_NITRO	guanidines_tertiary_primary	0
calc_NITRO	guanidines_tertiary_secondary	0
calc_NITRO	calc_NAS_ELECTROPHILE	0
calc_NITRO	o_amino_phenols	0
calc_NITRO	o_amino_thiophenols	0
calc_NITRO	o_iodo_sec_aniline	0
calc_NITRO	triazine_dichloro	0
calc_NITRO	triazine_chloro	0
calc_NITRO	calc_AMINES_AROMATIC_SECONDARY_1	0
calc_NITRO	sec_boc	0
calc_NITRO	tert_boc	0
calc_NITRO	alcohols_primary	0
calc_PHENOLS	NO_FG	0
calc_PHENOLS	aldehyde	0
calc_PHENOLS	alkynes_terminal	0
calc_PHENOLS	amines_aliphatic_secondary	0
calc_PHENOLS	azide	0
calc_PHENOLS	carboxylic_acids	0
calc_PHENOLS	thiols	1
calc_PHENOLS	calc_THIOPHENOLS	1
calc_PHENOLS	calc_NITRO	0
calc_PHENOLS	calc_PHENOLS	1
calc_PHENOLS	sec_fmoc	0
calc_PHENOLS	sulphonyl_chlorides	1
calc_PHENOLS	boronics_aromatic	0
calc_PHENOLS	tert_fmoc	0
calc_PHENOLS	ester_methyl_ethyl	0
calc_PHENOLS	nitro_fluoro	0
calc_PHENOLS	sec_aniline_boc	0
calc_PHENOLS	tert_aniline_boc	0
calc_PHENOLS	o_nitro_sec_aniline	0
calc_PHENOLS	calc_ARYLHALIDE	0
calc_PHENOLS	amines-aliphatic-primary	0
calc_PHENOLS	calc_AMINES_AROMATIC_PRIMARY	0
calc_PHENOLS	isocyanates	0
calc_PHENOLS	isothiocyanates	0
calc_PHENOLS	o_iodo_aniline	0
calc_PHENOLS	hydrazines_primary	0
calc_PHENOLS	nitrile	0
calc_PHENOLS	ketones_a_bromo	0
calc_PHENOLS	ynones	0
calc_PHENOLS	amidines_primary	0
calc_PHENOLS	amidines_secondary	0
calc_PHENOLS	guanidines_secondary_primary	0
calc_PHENOLS	guanidines_secondary_secondary	0
calc_PHENOLS	guanidines_tertiary_primary	0
calc_PHENOLS	guanidines_tertiary_secondary	0
calc_PHENOLS	calc_NAS_ELECTROPHILE	1
calc_PHENOLS	o_amino_phenols	1
calc_PHENOLS	o_amino_thiophenols	0
calc_PHENOLS	o_iodo_sec_aniline	0
calc_PHENOLS	triazine_dichloro	1
calc_PHENOLS	triazine_chloro	0
calc_PHENOLS	calc_AMINES_AROMATIC_SECONDARY_1	0
calc_PHENOLS	sec_boc	0
calc_PHENOLS	tert_boc	0
calc_PHENOLS	alcohols_primary	0
sec_fmoc	NO_FG	0
sec_fmoc	aldehyde	0
sec_fmoc	alkynes_terminal	0
sec_fmoc	amines_aliphatic_secondary	1
sec_fmoc	azide	0
sec_fmoc	carboxylic_acids	0
sec_fmoc	thiols	1
sec_fmoc	calc_THIOPHENOLS	0
sec_fmoc	calc_NITRO	0
sec_fmoc	calc_PHENOLS	0
sec_fmoc	sec_fmoc	1
sec_fmoc	sulphonyl_chlorides	0
sec_fmoc	boronics_aromatic	0
sec_fmoc	tert_fmoc	1
sec_fmoc	ester_methyl_ethyl	0
sec_fmoc	nitro_fluoro	0
sec_fmoc	sec_aniline_boc	0
sec_fmoc	tert_aniline_boc	0
sec_fmoc	o_nitro_sec_aniline	0
sec_fmoc	calc_ARYLHALIDE	0
sec_fmoc	amines-aliphatic-primary	1
sec_fmoc	calc_AMINES_AROMATIC_PRIMARY	0
sec_fmoc	isocyanates	0
sec_fmoc	isothiocyanates	0
sec_fmoc	o_iodo_aniline	0
sec_fmoc	hydrazines_primary	1
sec_fmoc	nitrile	0
sec_fmoc	ketones_a_bromo	0
sec_fmoc	ynones	0
sec_fmoc	amidines_primary	0
sec_fmoc	amidines_secondary	0
sec_fmoc	guanidines_secondary_primary	0
sec_fmoc	guanidines_secondary_secondary	0
sec_fmoc	guanidines_tertiary_primary	0
sec_fmoc	guanidines_tertiary_secondary	0
sec_fmoc	calc_NAS_ELECTROPHILE	0
sec_fmoc	o_amino_phenols	0
sec_fmoc	o_amino_thiophenols	0
sec_fmoc	o_iodo_sec_aniline	0
sec_fmoc	triazine_dichloro	0
sec_fmoc	triazine_chloro	0
sec_fmoc	calc_AMINES_AROMATIC_SECONDARY_1	0
sec_fmoc	sec_boc	0
sec_fmoc	tert_boc	0
sec_fmoc	alcohols_primary	0
sulphonyl_chlorides	NO_FG	0
sulphonyl_chlorides	aldehyde	0
sulphonyl_chlorides	alkynes_terminal	0
sulphonyl_chlorides	amines_aliphatic_secondary	1
sulphonyl_chlorides	azide	0
sulphonyl_chlorides	carboxylic_acids	0
sulphonyl_chlorides	thiols	1
sulphonyl_chlorides	calc_THIOPHENOLS	1
sulphonyl_chlorides	calc_NITRO	0
sulphonyl_chlorides	calc_PHENOLS	1
sulphonyl_chlorides	sec_fmoc	0
sulphonyl_chlorides	sulphonyl_chlorides	1
sulphonyl_chlorides	boronics_aromatic	0
sulphonyl_chlorides	tert_fmoc	0
sulphonyl_chlorides	ester_methyl_ethyl	0
sulphonyl_chlorides	nitro_fluoro	1
sulphonyl_chlorides	sec_aniline_boc	0
sulphonyl_chlorides	tert_aniline_boc	0
sulphonyl_chlorides	o_nitro_sec_aniline	0
sulphonyl_chlorides	calc_ARYLHALIDE	0
sulphonyl_chlorides	amines-aliphatic-primary	1
sulphonyl_chlorides	calc_AMINES_AROMATIC_PRIMARY	1
sulphonyl_chlorides	isocyanates	1
sulphonyl_chlorides	isothiocyanates	1
sulphonyl_chlorides	o_iodo_aniline	1
sulphonyl_chlorides	hydrazines_primary	1
sulphonyl_chlorides	nitrile	0
sulphonyl_chlorides	ketones_a_bromo	1
sulphonyl_chlorides	ynones	0
sulphonyl_chlorides	amidines_primary	1
sulphonyl_chlorides	amidines_secondary	1
sulphonyl_chlorides	guanidines_secondary_primary	1
sulphonyl_chlorides	guanidines_secondary_secondary	1
sulphonyl_chlorides	guanidines_tertiary_primary	1
sulphonyl_chlorides	guanidines_tertiary_secondary	1
sulphonyl_chlorides	calc_NAS_ELECTROPHILE	1
sulphonyl_chlorides	o_amino_phenols	1
sulphonyl_chlorides	o_amino_thiophenols	1
sulphonyl_chlorides	o_iodo_sec_aniline	0
sulphonyl_chlorides	triazine_dichloro	1
sulphonyl_chlorides	triazine_chloro	0
